globalid,created_date,heading,location_timestamp,speed,vehicleid,vehiclename
{025A19B9-FDDF-46F3-B39F-84218432E9E4},2/7/2025 6:05:43,85.000000000000000,2/7/2025 6:05:37,20,qcnmea1,QC NMEA 1
{1450567C-1ED2-4BA5-A4C8-3A6C5791DC37},2/7/2025 6:06:12,263.000000000000000,2/7/2025 6:06:09,20,qcnmea1,QC NMEA 1
{EEA507AA-ACDF-4095-A75D-D09298B5C2AF},2/7/2025 6:06:22,271.000000000000000,2/7/2025 6:06:18,20,qcnmea1,QC NMEA 1
{FAE29105-D62F-434E-B264-1CDE4A1387EC},2/7/2025 6:06:33,271.000000000000000,2/7/2025 6:06:28,20,qcnmea1,QC NMEA 1
{B93610FF-68B1-4405-A493-F0018CBA4A2B},2/7/2025 6:06:42,271.000000000000000,2/7/2025 6:06:37,20,qcnmea1,QC NMEA 1
{DF8223AD-7176-4D0E-B95A-FF1CBF45C071},2/7/2025 6:06:52,274.000000000000000,2/7/2025 6:06:47,20,qcnmea1,QC NMEA 1
{29B18B7D-007C-426E-A3F8-5A0F5DDB1737},2/7/2025 6:07:23,274.000000000000000,2/7/2025 6:07:19,20,qcnmea1,QC NMEA 1
{78BB0853-49A8-4930-9123-59B0E92CB9AA},2/7/2025 6:07:33,180.000000000000000,2/7/2025 6:07:29,20,qcnmea1,QC NMEA 1
{8FF2A8FB-FA1F-4A0C-A5B8-FA464E66643A},2/7/2025 6:07:42,92.000000000000000,2/7/2025 6:07:38,20,qcnmea1,QC NMEA 1
{D1538203-1EAF-40DC-B9FC-F9D51AC45554},2/7/2025 6:07:52,271.000000000000000,2/7/2025 6:07:47,20,qcnmea1,QC NMEA 1
{75517DCF-E411-4F18-9708-F641564BAEA6},2/7/2025 6:08:03,271.000000000000000,2/7/2025 6:07:57,20,qcnmea1,QC NMEA 1
{6B8EC7FF-A9D7-4520-80DD-B99DF0C7CE94},2/7/2025 6:08:12,271.000000000000000,2/7/2025 6:08:06,20,qcnmea1,QC NMEA 1
{79CAB9C7-01A5-4C56-8F01-D7596C7BABF6},2/7/2025 6:08:43,205.000000000000000,2/7/2025 6:08:39,20,qcnmea1,QC NMEA 1
{7A084984-CA84-4235-80CC-B2F6D8CBA8E1},2/7/2025 6:08:52,205.000000000000000,2/7/2025 6:08:48,20,qcnmea1,QC NMEA 1
{64E8498C-6024-4D96-B9F6-2210B765F187},2/7/2025 6:09:03,289.000000000000000,2/7/2025 6:08:58,20,qcnmea1,QC NMEA 1
{FE89FFBC-272B-4597-A7D0-85BE7C21745D},2/7/2025 6:09:12,260.000000000000000,2/7/2025 6:09:07,20,qcnmea1,QC NMEA 1
{8C80DBCF-0ADE-42A1-B9FC-002F7AD98A09},2/7/2025 6:09:52,43.000000000000000,2/7/2025 6:09:49,20,qcnmea1,QC NMEA 1
{3353F5BB-7B51-4603-AE73-ED37B784A247},2/7/2025 6:10:03,86.000000000000000,2/7/2025 6:09:58,20,qcnmea1,QC NMEA 1
{73F0A107-5DF7-4156-B1C0-500D40DA58A0},2/7/2025 6:10:12,117.000000000000000,2/7/2025 6:10:07,20,qcnmea1,QC NMEA 1
{EBD57100-D04A-4450-8A02-2492CC313410},2/7/2025 6:10:23,177.000000000000000,2/7/2025 6:10:17,20,qcnmea1,QC NMEA 1
{D5D16605-4BAC-41F9-ADC9-62A5E634F987},2/7/2025 6:11:03,179.000000000000000,2/7/2025 6:10:59,20,qcnmea1,QC NMEA 1
{685250C9-FEC8-47AE-BA0B-207711A123D7},2/7/2025 6:11:12,179.000000000000000,2/7/2025 6:11:08,20,qcnmea1,QC NMEA 1
{9689D2AB-758C-4940-A19C-1BD7FB705252},2/7/2025 6:11:23,90.000000000000000,2/7/2025 6:11:17,20,qcnmea1,QC NMEA 1
{2D0A937F-4CAC-47C8-BA8A-F9FCDF0E8321},2/7/2025 6:11:33,178.000000000000000,2/7/2025 6:11:27,20,qcnmea1,QC NMEA 1
{99D510F0-BAC4-4C73-A61D-23138F279C77},2/7/2025 6:12:12,268.000000000000000,2/7/2025 6:12:09,20,qcnmea1,QC NMEA 1
{DDFAA632-A350-4D90-9EA2-ACF64B19E815},2/7/2025 6:12:23,311.000000000000000,2/7/2025 6:12:18,20,qcnmea1,QC NMEA 1
{D5E2432B-9F5A-4063-8EC0-8BF6F2426EEB},2/7/2025 6:12:32,311.000000000000000,2/7/2025 6:12:28,20,qcnmea1,QC NMEA 1
{6729E816-E85D-4CB9-9A81-7FE19C7B053F},2/7/2025 6:12:43,357.000000000000000,2/7/2025 6:12:37,20,qcnmea1,QC NMEA 1
{653ED1C4-7B60-483F-8346-2D933126CD7E},2/7/2025 6:12:53,357.000000000000000,2/7/2025 6:12:46,20,qcnmea1,QC NMEA 1
{A45A5B73-10F6-496C-9297-0EA5DCE08780},2/7/2025 6:13:22,233.000000000000000,2/7/2025 6:13:19,20,qcnmea1,QC NMEA 1
{439867E4-B50E-4910-91AC-FCC018C8C644},2/7/2025 6:13:33,189.000000000000000,2/7/2025 6:13:29,20,qcnmea1,QC NMEA 1
{431441DB-8217-4332-A805-BE52226D6E2E},2/7/2025 6:13:42,166.000000000000000,2/7/2025 6:13:38,20,qcnmea1,QC NMEA 1
{DFC719A9-42E3-4EEC-B3B8-8012C58E2D0C},2/7/2025 6:13:53,103.000000000000000,2/7/2025 6:13:47,20,qcnmea1,QC NMEA 1
{E84D2A1E-82FE-4E5D-B8B2-6722A2AAA94A},2/7/2025 6:14:03,89.000000000000000,2/7/2025 6:13:57,20,qcnmea1,QC NMEA 1
{474EC8C3-A83B-4801-B705-88E5A34E61F5},2/7/2025 6:14:23,51.000000000000000,2/7/2025 6:14:19,20,qcnmea1,QC NMEA 1
