granularmode,GranularSetting,GranularTotal,heading,servicetype,speedmph,spreaderstatus,vehicleid,xcoord,ycoord,reporttimeepoch
C,0,650720,268,In Transit,38,O,H60,-87.9875,41.75165,1643968414
C,0,1004646,0,Idle,0,O,H67,-88.03993,41.9212,1643968414
M,0,30939,268,Idle,0,O,H74,-88.01837,41.78728,1643968415
C,0,429817,84,In Transit,22,O,H78,-87.948,41.93097,1643968417
C,0,650720,268,In Transit,6,O,H60,-87.99303,41.75155,1643968444
M,0,30939,282,In Transit,2,O,H74,-88.0184,41.78727,1643968446
C,150,429817,84,Spreading,17,S,H78,-87.94603,41.93107,1643968446
C,0,76486,30,In Transit,8,O,H85,-88.24067,41.78162,1643968446
M,0,30939,260,In Transit,38,O,H74,-88.02453,41.78633,1643968474
C,150,429817,86,Spreading,20,S,H78,-87.94343,41.93122,1643968474
C,0,76486,350,In Transit,24,O,H85,-88.24075,41.7832,1643968475
M,0,30939,260,In Transit,38,O,H74,-88.02847,41.78587,1643968504
C,150,429864,88,Spreading,6,S,H78,-87.94027,41.93138,1643968504
C,0,76486,4,In Transit,26,O,H85,-88.24142,41.7874,1643968505
C,0,650720,268,In Transit,33,O,H60,-88.00882,41.75132,1643968534
C,0,1004646,0,Idle,0,O,H67,-88.03993,41.92123,1643968534
C,0,559844,0,Idle,0,O,H70,-87.91485,41.83343,1643968534
M,0,30939,262,In Transit,26,O,H74,-88.03605,41.78495,1643968535
C,150,429864,84,Spreading,20,S,H78,-87.93745,41.93152,1643968535
C,0,76486,6,In Transit,29,O,H85,-88.24117,41.78962,1643968536
C,0,650720,274,In Transit,6,O,H60,-88.01238,41.75128,1643968562
C,0,1004646,0,Idle,0,O,H67,-88.03993,41.9212,1643968563
M,0,30939,244,Idle,0,O,H74,-88.03702,41.78483,1643968565
C,150,429864,90,Spreading,20,S,H78,-87.93353,41.93165,1643968565
C,0,76486,2,In Transit,26,O,H85,-88.24077,41.79403,1643968565
C,0,685160,180,In Transit,29,O,H93,-88.15048,41.91047,1643968566
C,100,685259,178,Spreading,29,S,H93,-88.15083,41.89657,1643968568
C,0,650720,356,In Transit,8,O,H60,-88.01263,41.75255,1643968593
C,100,685259,180,Spreading,33,S,H93,-88.15082,41.89528,1643968594
C,0,76486,4,In Transit,31,O,H85,-88.24053,41.79652,1643968595
C,0,429931,92,In Transit,17,O,H78,-87.9302,41.93155,1643968596
C,100,650721,42,Spreading,26,S,H60,-88.01183,41.7552,1643968626
C,100,685332,168,Spreading,31,S,H93,-88.15143,41.88888,1643968626
M,0,30939,262,In Transit,2,O,H74,-88.037,41.78483,1643968627
C,0,76486,8,In Transit,29,O,H85,-88.23993,41.80125,1643968627
C,150,429931,92,Spreading,31,S,H78,-87.9264,41.9315,1643968628
C,100,685338,164,Spreading,24,S,H93,-88.15062,41.88637,1643968653
M,0,30939,262,In Transit,33,O,H74,-88.03962,41.78465,1643968654
C,0,429961,358,In Transit,8,O,H78,-87.92373,41.93152,1643968655
C,0,76486,10,In Transit,31,O,H85,-88.23938,41.80378,1643968655
C,0,650782,358,In Transit,31,O,H60,-88.00808,41.76085,1643968683
C,0,1004646,0,Idle,0,O,H67,-88.03995,41.92122,1643968683
M,0,30939,284,In Transit,35,O,H74,-88.04755,41.78473,1643968684
C,0,76486,16,In Transit,24,O,H85,-88.2378,41.80833,1643968684
C,0,685343,162,In Transit,22,O,H93,-88.14995,41.88447,1643968684
C,0,1004646,0,Idle,0,O,H67,-88.03995,41.92122,1643968713
C,100,685343,166,Spreading,15,S,H93,-88.1489,41.88135,1643968713
M,0,30939,304,Idle,0,O,H74,-88.0514,41.78553,1643968714
C,0,429961,352,Idle,0,O,H78,-87.92393,41.93375,1643968714
C,0,76486,28,In Transit,31,O,H85,-88.23662,41.81043,1643968714
C,0,685350,164,In Transit,24,O,H93,-88.14827,41.87953,1643968745
M,0,30939,286,In Transit,2,O,H74,-88.05142,41.78553,1643968746
C,0,76486,30,In Transit,38,O,H85,-88.23217,41.81465,1643968746
C,0,591206,0,Idle,0,O,H69,-87.975,41.77357,1643968774
C,0,685357,164,In Transit,24,O,H93,-88.14737,41.87693,1643968774
M,0,30939,276,In Transit,2,O,H74,-88.0547,41.78603,1643968775
C,0,76486,4,In Transit,33,O,H85,-88.23132,41.81752,1643968775
C,0,685357,160,Idle,0,O,H93,-88.14637,41.8742,1643968806
M,0,30939,278,In Transit,33,O,H74,-88.0604,41.7867,1643968809
C,0,76486,346,Idle,0,O,H85,-88.23115,41.8189,1643968810
C,0,1004646,0,Idle,0,O,H67,-88.03997,41.92118,1643968834
M,0,30939,274,In Transit,33,O,H74,-88.06415,41.78702,1643968837
C,0,76486,218,In Transit,4,O,H85,-88.23135,41.8189,1643968837
C,0,1004646,0,Idle,0,O,H67,-88.03998,41.9212,1643968864
C,0,685357,166,In Transit,31,O,H93,-88.14442,41.86908,1643968864
M,0,30939,266,In Transit,26,O,H74,-88.07115,41.78677,1643968865
C,0,76486,182,In Transit,22,O,H85,-88.23153,41.81725,1643968865
C,0,650782,282,In Transit,4,O,H60,-88.00888,41.7783,1643968876
C,0,559844,268,Idle,0,O,H70,-87.95455,41.8324,1643968892
C,0,239902,226,In Transit,22,O,H75,-88.03577,41.81078,1643968893
C,0,685360,166,In Transit,26,O,H93,-88.14348,41.86595,1643968894
M,0,30939,264,In Transit,2,O,H74,-88.07295,41.78667,1643968895
C,0,76486,200,In Transit,26,O,H85,-88.232,41.81515,1643968895
C,0,650782,0,Idle,0,O,H60,-88.00918,41.77722,1643968926
C,100,685363,176,Spreading,26,S,H93,-88.14275,41.86315,1643968926
M,0,30939,258,In Transit,35,O,H74,-88.0792,41.78588,1643968928
C,0,76486,216,In Transit,31,O,H85,-88.23605,41.8112,1643968928
C,100,685363,178,Spreading,26,S,H93,-88.14273,41.86292,1643968928
C,0,1004646,0,Idle,0,O,H67,-88.03998,41.92117,1643968953
C,0,239902,280,In Transit,4,O,H75,-88.03947,41.80733,1643968953
C,0,685393,178,In Transit,22,O,H93,-88.14267,41.86048,1643968953
M,0,30939,264,In Transit,35,O,H74,-88.08308,41.78547,1643968955
C,0,76486,196,Idle,0,O,H85,-88.23797,41.80823,1643968955
C,0,591206,0,Idle,0,O,H69,-87.9518,41.77407,1643968986
C,0,239902,0,Idle,0,O,H75,-88.04283,41.8078,1643968986
C,0,1004646,0,Idle,0,O,H67,-88.03997,41.92117,1643968987
M,0,30939,250,In Transit,42,O,H74,-88.09077,41.78252,1643968987
C,0,685399,180,In Transit,20,O,H93,-88.14272,41.85875,1643968987
C,0,76486,198,In Transit,4,O,H85,-88.23798,41.80822,1643968988
C,0,685399,0,Idle,0,O,H93,-88.14265,41.85807,1643969014
M,0,30939,206,In Transit,17,O,H74,-88.0927,41.782,1643969015
C,0,76486,196,In Transit,31,O,H85,-88.23873,41.80637,1643969015
C,0,650782,176,In Transit,8,O,H60,-88.00868,41.77708,1643969042
M,0,30939,192,In Transit,38,O,H74,-88.0944,41.77637,1643969044
C,0,76486,186,In Transit,29,O,H85,-88.24007,41.80115,1643969045
C,0,559844,312,In Transit,6,O,H70,-87.9717,41.8317,1643969072
C,0,591206,64,In Transit,6,O,H69,-87.9488,41.7741,1643969073
C,0,685399,82,In Transit,15,O,H93,-88.14215,41.85763,1643969073
M,0,30939,208,In Transit,38,O,H74,-88.09563,41.77338,1643969074
C,0,76486,186,In Transit,35,O,H85,-88.24057,41.79842,1643969075
C,0,239902,0,Idle,0,O,H75,-88.0428,41.80777,1643969104
C,0,1004646,0,Idle,0,O,H67,-88.03997,41.92118,1643969105
M,0,30939,206,In Transit,35,O,H74,-88.09817,41.76758,1643969105
C,0,76486,184,In Transit,33,O,H85,-88.24108,41.7929,1643969105
C,0,685399,10,In Transit,8,O,H93,-88.13997,41.85793,1643969105
C,0,1004646,0,Idle,0,O,H67,-88.03997,41.9212,1643969134
M,0,30939,208,In Transit,40,O,H74,-88.1002,41.76477,1643969135
C,0,685399,188,In Transit,8,O,H93,-88.14125,41.8584,1643969135
C,0,76486,182,In Transit,33,O,H85,-88.24132,41.7901,1643969136
