granularmode,GranularSetting,GranularTotal,heading,servicetype,speedmph,spreaderstatus,vehicleid,xcoord,ycoord,reporttimeepoch
C,0,430495,98,In Transit,29,O,H78,-87.9617,41.98257,1643971504
C,0,76865,324,In Transit,4,O,H85,-88.15185,41.79992,1643971504
C,0,239902,308,In Transit,4,O,H75,-88.09048,41.7911,1643971533
C,0,686041,270,In Transit,15,O,H93,-88.15282,41.88828,1643971534
M,0,30939,0,Idle,0,O,H74,-88.16817,41.82997,1643971535
C,0,430499,100,In Transit,26,O,H78,-87.95807,41.98208,1643971535
C,0,76865,328,Idle,0,O,H85,-88.152,41.80002,1643971535
C,0,1004646,282,In Transit,29,O,H67,-88.0502,41.93407,1643971539
C,0,651361,2,In Transit,11,O,H60,-88.03032,41.72718,1643971562
C,0,1004646,284,In Transit,31,O,H67,-88.05293,41.93458,1643971563
C,0,239902,356,In Transit,29,O,H75,-88.09065,41.79288,1643971563
M,0,30939,22,In Transit,2,O,H74,-88.16817,41.82997,1643971565
C,0,430521,104,In Transit,11,O,H78,-87.95365,41.9813,1643971565
C,0,651361,90,In Transit,8,O,H60,-88.03022,41.7287,1643971592
C,0,1004646,0,In Transit,17,O,H67,-88.05418,41.93585,1643971592
M,0,591238,268,In Transit,35,O,H69,-87.96523,41.77392,1643971592
C,0,686041,240,In Transit,20,O,H93,-88.15932,41.88717,1643971593
M,0,30939,350,In Transit,35,O,H74,-88.16828,41.83202,1643971594
C,0,430521,104,In Transit,6,O,H78,-87.95342,41.98125,1643971594
M,0,591238,266,In Transit,35,O,H69,-87.97187,41.77378,1643971622
C,0,1004646,358,In Transit,20,O,H67,-88.05412,41.93992,1643971623
C,0,239902,354,In Transit,33,O,H75,-88.09103,41.8005,1643971623
M,0,30939,348,In Transit,42,O,H74,-88.1702,41.8388,1643971624
C,0,430521,104,In Transit,29,O,H78,-87.94987,41.98053,1643971624
C,0,686041,266,In Transit,33,O,H93,-88.16273,41.8863,1643971624
C,0,1004646,66,In Transit,11,O,H67,-88.05393,41.94033,1643971653
M,0,591238,268,Idle,0,O,H69,-87.97402,41.77375,1643971653
C,0,559912,68,In Transit,6,O,H70,-87.9915,41.83145,1643971653
M,0,30939,354,In Transit,24,O,H74,-88.1709,41.84165,1643971654
C,0,430521,120,In Transit,31,O,H78,-87.94497,41.97933,1643971654
C,0,686041,268,In Transit,35,O,H93,-88.16913,41.88613,1643971654
C,0,239902,148,In Transit,4,O,H75,-88.09073,41.80735,1643971682
C,300,559912,356,Spreading,26,S,H70,-87.99143,41.83447,1643971683
C,0,1004646,358,In Transit,17,O,H67,-88.05087,41.94175,1643971684
C,0,686041,268,In Transit,35,O,H93,-88.17355,41.88605,1643971684
M,0,30939,40,In Transit,38,O,H74,-88.16748,41.84597,1643971685
C,0,430521,140,In Transit,24,O,H78,-87.9412,41.97645,1643971685
C,0,559924,2,In Transit,24,O,H70,-87.99147,41.83533,1643971713
C,100,651361,82,Spreading,11,S,H60,-88.02767,41.72762,1643971714
C,0,686041,268,In Transit,31,O,H93,-88.18345,41.88588,1643971714
M,0,30939,36,In Transit,35,O,H74,-88.16497,41.8484,1643971715
C,0,430521,98,Idle,0,O,H78,-87.93993,41.97593,1643971715
C,0,1004646,358,In Transit,22,O,H67,-88.05108,41.94587,1643971743
M,0,591238,268,In Transit,35,O,H69,-87.9844,41.77353,1643971743
C,0,559924,12,In Transit,6,O,H70,-87.99102,41.83775,1643971743
M,0,30939,18,In Transit,35,O,H74,-88.16215,41.85402,1643971744
C,0,430521,130,In Transit,6,O,H78,-87.93988,41.97592,1643971744
C,0,686041,176,In Transit,11,O,H93,-88.18475,41.88563,1643971744
C,0,1004646,358,In Transit,22,O,H67,-88.05125,41.94993,1643971773
M,0,591238,268,In Transit,33,O,H69,-87.99003,41.77342,1643971773
C,0,686041,180,In Transit,15,O,H93,-88.18473,41.88422,1643971773
C,0,430521,178,In Transit,24,O,H78,-87.93982,41.97305,1643971774
M,0,30939,70,In Transit,11,O,H74,-88.16072,41.85692,1643971775
C,0,1004646,8,In Transit,15,O,H67,-88.05133,41.95403,1643971803
M,0,591238,268,In Transit,38,O,H69,-87.99603,41.77332,1643971803
C,0,559924,198,In Transit,6,O,H70,-87.99067,41.84208,1643971803
C,0,686050,178,In Transit,24,O,H93,-88.18478,41.8815,1643971803
C,0,430521,178,In Transit,31,O,H78,-87.93978,41.96938,1643971804
M,0,30939,88,In Transit,38,O,H74,-88.15752,41.85703,1643971805
C,0,686050,180,In Transit,26,O,H93,-88.18482,41.8795,1643971833
M,0,30939,88,In Transit,40,O,H74,-88.14875,41.85718,1643971834
C,0,430521,178,In Transit,20,O,H78,-87.93977,41.96595,1643971834
C,0,1004646,284,In Transit,31,O,H67,-88.0529,41.95512,1643971864
M,0,591238,268,In Transit,33,O,H69,-88.00862,41.77307,1643971864
C,0,686050,104,In Transit,26,O,H93,-88.18367,41.877,1643971864
C,0,430521,180,Idle,0,O,H78,-87.93973,41.96418,1643971865
M,0,30939,86,Idle,0,O,H74,-88.14347,41.85755,1643971866
C,0,1004646,352,In Transit,6,O,H67,-88.05663,41.95598,1643971893
M,0,591238,268,In Transit,35,O,H69,-88.0146,41.77297,1643971893
C,0,686050,102,In Transit,31,O,H93,-88.17687,41.87598,1643971893
M,0,30939,92,Idle,0,O,H74,-88.14327,41.8576,1643971895
C,0,559924,4,In Transit,11,O,H70,-87.99137,41.83333,1643971922
C,0,1004646,0,Idle,0,O,H67,-88.05725,41.9567,1643971923
M,0,591238,268,In Transit,35,O,H69,-88.02027,41.77285,1643971923
C,0,686050,110,In Transit,33,O,H93,-88.17357,41.87523,1643971923
M,0,30939,60,Idle,0,O,H74,-88.14282,41.85762,1643971925
C,0,430521,356,In Transit,15,O,H78,-87.93948,41.96435,1643971925
C,100,651556,178,Spreading,35,S,H60,-88.00702,41.71902,1643971952
M,0,591238,266,In Transit,33,O,H69,-88.02598,41.77277,1643971953
C,0,559935,2,In Transit,24,O,H70,-87.99143,41.83608,1643971953
C,0,686050,112,In Transit,31,O,H93,-88.16652,41.87295,1643971953
C,0,430521,358,In Transit,24,O,H78,-87.93952,41.96753,1643971954
C,0,586482,220,In Transit,6,O,H62,-88.25353,41.97975,1643971956
C,100,651585,176,Spreading,35,S,H60,-88.00682,41.71247,1643971982
M,100,591238,268,Spreading,29,B,H69,-88.03158,41.7726,1643971983
C,0,686050,112,In Transit,29,O,H93,-88.16338,41.87192,1643971983
C,0,430521,358,In Transit,33,O,H78,-87.93962,41.97123,1643971984
C,0,76865,336,In Transit,4,O,H85,-88.15203,41.80007,1643971985
C,0,586482,220,In Transit,13,O,H62,-88.25502,41.97935,1643971990
C,0,591238,266,In Transit,8,O,H69,-88.03625,41.77242,1643972013
C,0,559947,358,Idle,0,O,H70,-87.99053,41.84295,1643972013
C,0,686050,88,Idle,0,O,H93,-88.15867,41.87127,1643972014
C,0,586482,186,Idle,0,O,H62,-88.25515,41.97735,1643972015
M,0,30939,34,In Transit,13,O,H74,-88.14258,41.85772,1643972015
C,0,430521,0,In Transit,31,O,H78,-87.93962,41.97522,1643972015
C,0,76865,354,Idle,0,O,H85,-88.1523,41.80115,1643972015
C,0,1004646,0,Idle,0,O,H67,-88.0573,41.95677,1643972043
C,0,591238,194,In Transit,13,O,H69,-88.03663,41.7722,1643972043
C,0,686050,30,In Transit,8,O,H93,-88.15833,41.87135,1643972043
C,0,586482,212,In Transit,6,O,H62,-88.25518,41.9773,1643972045
M,0,30939,0,In Transit,29,O,H74,-88.14257,41.86247,1643972045
C,0,430521,358,In Transit,33,O,H78,-87.93963,41.97933,1643972045
C,0,76865,304,In Transit,8,O,H85,-88.15237,41.80137,1643972045
C,0,591238,14,In Transit,6,O,H69,-88.03577,41.77168,1643972073
C,0,686050,22,In Transit,31,O,H93,-88.15698,41.87537,1643972073
C,0,430521,0,In Transit,29,O,H78,-87.93967,41.98347,1643972074
C,0,586482,260,In Transit,40,O,H62,-88.25985,41.97672,1643972075
M,0,30939,346,In Transit,4,O,H74,-88.14268,41.86378,1643972075
C,0,76865,268,In Transit,22,O,H85,-88.15642,41.80137,1643972075
C,0,686050,358,In Transit,33,O,H93,-88.15665,41.87852,1643972103
C,0,430521,194,In Transit,6,O,H78,-87.93988,41.98698,1643972104
M,0,30939,348,In Transit,33,O,H74,-88.14322,41.86583,1643972105
C,0,76865,268,In Transit,29,O,H85,-88.15923,41.80128,1643972105
C,0,586482,196,In Transit,8,O,H62,-88.2634,41.97687,1643972106
C,0,559947,74,Idle,0,O,H70,-87.98347,41.84568,1643972132
C,0,591238,88,Idle,0,O,H69,-88.03472,41.77222,1643972133
C,0,430532,174,In Transit,17,O,H78,-87.93988,41.98427,1643972133
C,0,686050,0,In Transit,24,O,H93,-88.15663,41.88252,1643972133
M,0,30939,342,In Transit,33,O,H74,-88.14507,41.87147,1643972134
C,0,76865,276,In Transit,24,O,H85,-88.16523,41.80158,1643972134
C,0,586482,88,In Transit,6,O,H62,-88.26327,41.97683,1643972135
C,0,686050,352,In Transit,31,O,H93,-88.15693,41.88588,1643972164
C,0,1004646,0,Idle,0,O,H67,-88.05733,41.9568,1643972165
M,0,30939,342,In Transit,33,O,H74,-88.14613,41.874,1643972166
C,0,430532,178,In Transit,29,O,H78,-87.93983,41.98138,1643972166
C,0,76865,278,In Transit,22,O,H85,-88.16783,41.80185,1643972166
C,0,586489,80,In Transit,38,O,H62,-88.25815,41.97682,1643972167
C,0,147,0,Idle,0,O,H94,-88.1453,41.86542,1643972186
C,0,559947,18,In Transit,13,O,H70,-87.9829,41.846,1643972193
C,0,686050,350,Idle,0,O,H93,-88.15725,41.88775,1643972193
M,0,30939,346,In Transit,38,O,H74,-88.14825,41.8799,1643972194
C,0,430532,180,In Transit,31,O,H78,-87.93978,41.97743,1643972194
C,0,76865,8,In Transit,8,O,H85,-88.17232,41.80253,1643972194
C,0,586500,90,In Transit,44,O,H62,-88.25225,41.97717,1643972195
C,0,430532,304,In Transit,22,O,H78,-87.9408,41.97625,1643972223
C,0,76865,322,In Transit,6,O,H85,-88.1719,41.80343,1643972223
C,0,686050,252,In Transit,13,O,H93,-88.1576,41.8879,1643972223
C,0,586500,96,In Transit,46,O,H62,-88.2445,41.97688,1643972224
M,0,30939,346,In Transit,38,O,H74,-88.14928,41.88307,1643972224
C,0,686050,246,In Transit,35,O,H93,-88.16062,41.88662,1643972253
C,0,586500,100,In Transit,29,O,H62,-88.2377,41.97598,1643972254
M,0,30939,344,Idle,0,O,H74,-88.15087,41.88787,1643972254
C,0,430532,306,In Transit,35,O,H78,-87.94425,41.979,1643972254
C,0,76865,350,In Transit,2,O,H85,-88.1731,41.80383,1643972255
C,0,686050,268,In Transit,38,O,H93,-88.16843,41.88613,1643972283
M,0,30939,88,In Transit,15,O,H74,-88.15055,41.88812,1643972285
C,0,430532,284,In Transit,33,O,H78,-87.94967,41.98055,1643972285
C,250,586500,102,Spreading,35,S,H62,-88.23385,41.9754,1643972286
C,0,76865,106,Idle,0,O,H85,-88.17305,41.80415,1643972286
C,0,147,270,In Transit,6,O,H94,-88.14558,41.86535,1643972313
C,0,686050,268,In Transit,38,O,H93,-88.17263,41.88605,1643972314
C,0,586518,92,In Transit,42,O,H62,-88.22762,41.97498,1643972316
M,0,30939,92,In Transit,31,O,H74,-88.1476,41.88802,1643972316
C,0,430532,280,Idle,0,O,H78,-87.95217,41.98103,1643972316
C,0,147,204,In Transit,6,O,H94,-88.14672,41.86515,1643972342
C,0,586518,100,Idle,0,O,H62,-88.22302,41.97485,1643972344
M,0,30939,92,In Transit,33,O,H74,-88.13963,41.88782,1643972344
C,0,430536,356,Idle,0,O,H78,-87.95267,41.98163,1643972344
C,0,686050,268,In Transit,38,O,H93,-88.1815,41.88593,1643972344
C,0,147,0,Idle,0,O,H94,-88.14663,41.86493,1643972372
C,100,686053,0,Idle,0,S,H93,-88.1843,41.88597,1643972375
C,0,586518,90,In Transit,6,O,H62,-88.2229,41.97483,1643972376
M,0,30939,90,In Transit,20,O,H74,-88.13673,41.88773,1643972376
C,0,430536,316,In Transit,11,O,H78,-87.95273,41.98213,1643972376
C,0,686064,268,In Transit,26,O,H93,-88.18695,41.8859,1643972404
C,0,430536,290,In Transit,22,O,H78,-87.955,41.98265,1643972405
C,0,586518,26,In Transit,11,O,H62,-88.22272,41.97492,1643972406
M,0,30939,88,In Transit,33,O,H74,-88.1299,41.88772,1643972406
C,0,686064,258,In Transit,31,O,H93,-88.19197,41.88533,1643972433
M,0,30939,86,In Transit,38,O,H74,-88.12587,41.88778,1643972436
C,0,430536,276,Idle,0,O,H78,-87.9588,41.98355,1643972436
C,0,586518,284,In Transit,15,O,H62,-88.22292,41.97763,1643972437
C,0,1004646,0,Idle,0,O,H67,-88.05732,41.95675,1643972464
C,0,686064,282,Idle,0,O,H93,-88.19422,41.88522,1643972464
C,0,586518,264,In Transit,33,O,H62,-88.22815,41.97765,1643972465
M,0,30939,88,In Transit,33,O,H74,-88.11882,41.88792,1643972465
C,0,430536,284,In Transit,6,O,H78,-87.95883,41.98355,1643972465
C,0,586518,342,In Transit,11,O,H62,-88.23313,41.97723,1643972494
M,0,30939,88,In Transit,33,O,H74,-88.11497,41.88798,1643972494
C,0,430536,270,In Transit,33,O,H78,-87.96328,41.9838,1643972494
C,0,651706,92,Idle,0,O,H60,-88.00712,41.70065,1643972523
C,0,686064,0,In Transit,35,O,H93,-88.19438,41.88765,1643972523
C,0,430536,270,In Transit,33,O,H78,-87.96903,41.98397,1643972524
C,0,586518,28,In Transit,33,O,H62,-88.23202,41.98075,1643972525
M,0,30939,88,In Transit,24,O,H74,-88.10825,41.88812,1643972525
C,0,651706,178,Idle,0,O,H60,-88.00693,41.7004,1643972553
C,0,686064,0,In Transit,38,O,H93,-88.19433,41.89073,1643972554
C,0,586518,64,In Transit,26,O,H62,-88.2281,41.9836,1643972556
M,0,30939,90,Idle,0,O,H74,-88.10733,41.88813,1643972556
C,0,430536,100,In Transit,15,O,H78,-87.9702,41.98297,1643972556
C,0,430536,92,In Transit,35,O,H78,-87.9649,41.98282,1643972583
C,0,686064,0,In Transit,35,O,H93,-88.19425,41.89698,1643972583
C,0,586518,122,In Transit,13,O,H62,-88.22662,41.98382,1643972584
M,0,30939,88,In Transit,33,O,H74,-88.10485,41.88818,1643972584
C,100,651706,176,Spreading,17,S,H60,-88.00638,41.6999,1643972613
C,0,430536,100,Idle,0,O,H78,-87.95963,41.98237,1643972614
C,0,686064,0,Idle,0,O,H93,-88.1954,41.89988,1643972614
C,0,586518,88,Idle,0,O,H62,-88.22238,41.98358,1643972615
M,0,30939,86,In Transit,35,O,H74,-88.10085,41.88825,1643972615
C,0,651726,178,In Transit,22,O,H60,-88.0063,41.6975,1643972643
C,0,686064,268,In Transit,26,O,H93,-88.19675,41.90008,1643972644
M,0,30939,88,In Transit,20,O,H74,-88.0936,41.88837,1643972646
C,0,651726,176,In Transit,6,O,H60,-88.00628,41.69658,1643972681
C,0,686064,268,In Transit,29,O,H93,-88.20098,41.90005,1643972681
M,0,30939,86,In Transit,22,O,H74,-88.09192,41.8884,1643972683
C,0,651726,176,In Transit,35,O,H60,-88.00603,41.69063,1643972703
C,0,686064,268,In Transit,2,O,H93,-88.20342,41.90005,1643972704
M,0,30939,84,In Transit,33,O,H74,-88.08475,41.88873,1643972705
C,0,430536,34,In Transit,11,O,H78,-87.95922,41.9824,1643972705
C,0,651726,162,In Transit,35,O,H60,-88.00575,41.68793,1643972734
C,0,686064,268,In Transit,29,O,H93,-88.20707,41.9,1643972734
C,0,430536,294,In Transit,15,O,H78,-87.95942,41.9836,1643972735
M,0,30939,18,In Transit,13,O,H74,-88.08218,41.88902,1643972736
C,0,1004646,0,Idle,0,O,H67,-88.05728,41.95677,1643972763
C,0,651726,328,Idle,0,O,H60,-88.00428,41.6857,1643972764
C,0,686064,268,In Transit,33,O,H93,-88.21063,41.89995,1643972764
M,0,30939,358,In Transit,31,O,H74,-88.08218,41.89123,1643972766
C,0,430536,270,In Transit,24,O,H78,-87.96373,41.98385,1643972766
C,0,430536,272,In Transit,22,O,H78,-87.96752,41.98397,1643972794
C,0,686064,268,In Transit,29,O,H93,-88.21787,41.89985,1643972794
M,0,30939,324,In Transit,2,O,H74,-88.0821,41.89412,1643972795
C,0,686064,266,In Transit,17,O,H93,-88.22088,41.8998,1643972824
M,0,30939,358,In Transit,29,O,H74,-88.0821,41.89583,1643972825
C,0,430536,272,In Transit,8,O,H78,-87.97028,41.98402,1643972825
C,0,430536,272,In Transit,31,O,H78,-87.9739,41.98412,1643972854
C,0,686064,268,In Transit,26,O,H93,-88.22565,41.89973,1643972854
M,0,30939,2,In Transit,29,O,H74,-88.08208,41.90082,1643972855
C,0,559947,146,In Transit,6,O,H70,-87.97272,41.85182,1643972882
C,0,686064,268,In Transit,29,O,H93,-88.22932,41.89968,1643972883
M,0,30939,84,In Transit,2,O,H74,-88.08102,41.90218,1643972885
C,0,430536,272,In Transit,17,O,H78,-87.97755,41.98422,1643972885
C,0,147,0,Idle,0,P,H94,-88.14655,41.86487,1643972888
C,0,147,38,In Transit,6,P,H94,-88.14653,41.86508,1643972912
C,0,686064,268,In Transit,31,O,H93,-88.235,41.8996,1643972914
M,0,30939,146,In Transit,2,O,H74,-88.08077,41.90217,1643972916
C,0,430536,330,In Transit,13,O,H78,-87.97988,41.9843,1643972916
C,0,147,258,Idle,0,P,H94,-88.1463,41.86567,1643972942
C,150,686064,320,Spreading,8,S,H93,-88.2381,41.89963,1643972943
M,0,30939,348,Idle,0,O,H74,-88.08057,41.90157,1643972944
C,0,430536,0,In Transit,33,O,H78,-87.97972,41.98785,1643972944
C,0,147,0,Idle,0,U,H94,-88.14638,41.8657,1643972972
C,0,686068,0,In Transit,29,O,H93,-88.23818,41.9021,1643972973
C,0,430536,0,In Transit,24,O,H78,-87.9795,41.99115,1643972975
C,300,559955,176,Spreading,17,S,H70,-87.97248,41.84705,1643973003
C,0,686068,0,In Transit,33,O,H93,-88.23812,41.90637,1643973003
C,0,430536,10,Idle,0,O,H78,-87.97945,41.99223,1643973006
C,0,559961,180,Idle,0,O,H70,-87.97247,41.84673,1643973032
C,0,686072,0,In Transit,31,O,H93,-88.23808,41.90992,1643973033
C,0,586518,354,Idle,0,O,H62,-88.22173,41.98362,1643973034
C,0,430536,180,In Transit,8,O,H78,-87.97963,41.99222,1643973035
C,400,559964,174,Spreading,15,S,H70,-87.9725,41.846,1643973062
C,0,1004646,0,Idle,0,O,H67,-88.05732,41.95677,1643973063
C,0,686072,0,In Transit,33,O,H93,-88.23802,41.91515,1643973063
C,0,586518,280,In Transit,6,O,H62,-88.22187,41.98358,1643973064
C,0,430536,180,In Transit,33,O,H78,-87.97978,41.98882,1643973064
C,0,147,0,Idle,0,U,H94,-88.14643,41.86573,1643973092
C,100,651819,358,Spreading,26,S,H60,-88.00665,41.71273,1643973093
C,0,430536,184,Idle,0,O,H78,-87.98015,41.98427,1643973094
C,100,686080,2,Spreading,29,S,H93,-88.23792,41.91905,1643973094
C,0,586518,270,In Transit,6,O,H62,-88.22668,41.9839,1643973095
C,100,651828,358,Spreading,33,S,H60,-88.00672,41.71477,1643973123
C,0,686088,210,In Transit,8,O,H93,-88.23817,41.91972,1643973123
C,0,586518,234,In Transit,22,O,H62,-88.22937,41.9831,1643973124
C,0,651853,358,In Transit,35,O,H60,-88.00688,41.71942,1643973153
C,0,686088,180,In Transit,31,O,H93,-88.23808,41.91523,1643973154
C,0,586518,206,In Transit,26,O,H62,-88.2322,41.98062,1643973155
C,0,430536,184,In Transit,8,O,H78,-87.98017,41.98422,1643973155
C,0,147,0,Idle,0,U,H94,-88.14647,41.86573,1643973182
C,0,651853,330,In Transit,35,O,H60,-88.00867,41.72458,1643973183
C,0,559966,176,In Transit,26,O,H70,-87.97198,41.83325,1643973183
C,0,686088,180,In Transit,33,O,H93,-88.23813,41.9123,1643973183
C,0,586518,178,In Transit,4,O,H62,-88.23318,41.9778,1643973185
C,0,430547,176,In Transit,29,O,H78,-87.97992,41.98093,1643973185
C,0,651853,340,In Transit,35,O,H60,-88.01158,41.72893,1643973213
C,0,586518,116,In Transit,13,O,H62,-88.23307,41.97708,1643973213
C,0,686088,180,In Transit,35,O,H93,-88.2382,41.9067,1643973213
C,0,430547,176,In Transit,35,O,H78,-87.97973,41.97727,1643973214
C,0,559966,112,In Transit,6,O,H70,-87.97173,41.83157,1643973243
C,0,686088,180,In Transit,31,O,H93,-88.23825,41.90187,1643973243
C,0,586518,78,In Transit,20,O,H62,-88.23012,41.97738,1643973245
C,0,430547,166,In Transit,31,O,H78,-87.9793,41.97278,1643973245
C,100,651853,358,Spreading,26,S,H60,-88.01215,41.73668,1643973273
C,0,591238,86,Idle,0,O,H69,-88.01682,41.7728,1643973273
C,0,586518,90,In Transit,17,O,H62,-88.2269,41.97765,1643973274
C,100,686088,216,Spreading,8,S,H93,-88.23837,41.8996,1643973274
C,200,430547,178,Spreading,24,S,H78,-87.97887,41.96658,1643973276
C,0,559966,144,In Transit,6,O,H70,-87.96302,41.83178,1643973302
C,0,651859,358,In Transit,29,O,H60,-88.0122,41.73782,1643973304
C,200,686123,268,Spreading,17,S,H93,-88.24267,41.89945,1643973304
C,0,586518,84,Idle,0,O,H62,-88.22618,41.97763,1643973305
C,0,430564,178,Idle,0,O,H78,-87.97902,41.96425,1643973305
C,0,239902,284,In Transit,2,P,H75,-88.09102,41.80718,1643973319
C,0,686132,180,In Transit,31,O,H93,-88.24318,41.89713,1643973334
C,0,239902,60,In Transit,6,P,H75,-88.09127,41.80815,1643973362
C,0,1004646,0,Idle,0,O,H67,-88.0573,41.95678,1643973364
C,0,591238,158,In Transit,8,O,H69,-88.00867,41.77285,1643973364
C,0,686132,180,In Transit,38,O,H93,-88.24322,41.89263,1643973364
C,0,586518,90,In Transit,6,O,H62,-88.22625,41.97767,1643973366
C,200,430564,184,Spreading,6,S,H78,-87.979,41.9639,1643973367
C,0,651859,358,Idle,0,O,H60,-88.01265,41.75073,1643973392
C,0,239902,88,In Transit,42,O,H75,-88.08353,41.80845,1643973392
C,0,591238,178,In Transit,35,O,H69,-88.00852,41.76915,1643973393
C,0,559966,342,Idle,0,O,H70,-87.96117,41.83042,1643973393
C,0,686132,180,In Transit,40,O,H93,-88.24325,41.88822,1643973393
C,0,430572,252,In Transit,8,O,H78,-87.97927,41.9636,1643973396
C,250,586519,176,Spreading,24,S,H62,-88.2228,41.97587,1643973397
C,0,239902,102,In Transit,35,O,H75,-88.07978,41.80842,1643973422
C,0,147,0,Idle,0,U,H94,-88.14643,41.86573,1643973422
C,0,586529,178,Idle,0,O,H62,-88.22275,41.97508,1643973423
C,0,591238,178,In Transit,35,O,H69,-88.00837,41.76497,1643973423
C,0,686132,196,In Transit,38,O,H93,-88.24403,41.88445,1643973423
C,0,430572,284,In Transit,31,O,H78,-87.9832,41.9641,1643973424
C,0,239902,64,In Transit,33,O,H75,-88.07377,41.8083,1643973452
C,0,651859,298,In Transit,15,O,H60,-88.01288,41.7512,1643973453
C,0,686132,176,In Transit,15,O,H93,-88.24437,41.8796,1643973453
C,0,586529,176,In Transit,6,O,H62,-88.22277,41.97505,1643973454
C,0,430572,282,In Transit,33,O,H78,-87.98848,41.9651,1643973454
C,0,147,0,Idle,0,U,H94,-88.14645,41.86573,1643973482
C,0,591238,234,In Transit,35,O,H69,-88.00943,41.7564,1643973483
C,0,586529,112,In Transit,15,O,H62,-88.22257,41.97487,1643973484
C,0,430572,280,In Transit,29,O,H78,-87.99347,41.96587,1643973485
C,0,239902,94,In Transit,38,O,H75,-88.06172,41.80822,1643973512
C,0,591238,176,Idle,0,O,H69,-88.01285,41.75322,1643973513
C,0,586529,84,In Transit,38,O,H62,-88.21702,41.97497,1643973514
C,200,430572,338,Spreading,11,S,H78,-87.99828,41.96673,1643973514
C,0,147,0,Idle,0,O,H94,-88.14645,41.86573,1643973542
C,0,686132,132,In Transit,11,O,H93,-88.24422,41.87892,1643973543
C,0,586529,94,Idle,0,O,H62,-88.2078,41.9749,1643973544
C,0,430592,4,In Transit,17,O,H78,-87.99815,41.9692,1643973544
C,0,239902,92,In Transit,42,O,H75,-88.04893,41.80765,1643973572
C,0,147,0,Idle,0,U,H94,-88.14645,41.86573,1643973572
C,0,591238,202,In Transit,6,O,H69,-88.01288,41.7513,1643973574
C,0,686132,104,In Transit,29,O,H93,-88.23843,41.8777,1643973574
C,0,586529,94,In Transit,8,O,H62,-88.20773,41.9749,1643973575
C,0,430594,0,In Transit,24,O,H78,-87.99803,41.97113,1643973575
C,0,686132,208,In Transit,22,O,H93,-88.2357,41.8763,1643973607
C,0,586529,100,In Transit,6,O,H62,-88.20578,41.97368,1643973609
C,0,430594,0,In Transit,26,O,H78,-87.99808,41.97427,1643973609
C,0,239902,88,In Transit,6,O,H75,-88.04323,41.80767,1643973632
C,0,591238,268,In Transit,6,O,H69,-88.01717,41.75115,1643973633
C,0,686132,208,In Transit,40,O,H93,-88.23802,41.87312,1643973634
C,0,586529,282,Idle,0,O,H62,-88.20543,41.97347,1643973636
C,200,430594,0,Spreading,22,S,H78,-87.99803,41.97687,1643973636
C,0,1004646,0,Idle,0,O,H67,-88.05728,41.95677,1643973663
C,0,591238,268,In Transit,35,O,H69,-88.02182,41.75107,1643973663
C,0,239902,14,Idle,0,O,H75,-88.04293,41.8078,1643973663
C,0,686132,266,In Transit,33,O,H93,-88.24298,41.87033,1643973664
C,200,430594,0,Spreading,22,S,H78,-87.998,41.97977,1643973666
C,0,591238,268,In Transit,33,O,H69,-88.02963,41.75093,1643973693
C,0,430662,358,In Transit,22,O,H78,-87.998,41.9817,1643973695
C,0,686136,272,In Transit,33,O,H93,-88.24725,41.87053,1643973696
C,0,430669,340,In Transit,24,O,H78,-87.99875,41.9848,1643973724
C,0,76865,160,In Transit,2,O,H85,-88.17285,41.80402,1643973724
C,0,686136,274,In Transit,33,O,H93,-88.25433,41.87092,1643973724
C,0,591238,358,In Transit,35,O,H69,-88.03118,41.75575,1643973753
C,0,686136,270,In Transit,35,O,H93,-88.25817,41.87107,1643973753
C,0,430669,316,In Transit,26,O,H78,-88.00098,41.98732,1643973754
C,0,76865,44,In Transit,2,O,H85,-88.17268,41.8037,1643973754
C,0,147,0,Idle,0,U,H94,-88.14647,41.86573,1643973783
C,0,686136,270,In Transit,4,O,H93,-88.2634,41.87115,1643973784
C,0,430669,0,In Transit,29,O,H78,-88.0031,41.98983,1643973786
C,0,76865,96,Idle,0,O,H85,-88.17233,41.80417,1643973786
C,0,591238,358,In Transit,33,O,H69,-88.0316,41.76737,1643973813
C,0,686136,0,Idle,0,O,H93,-88.26368,41.87115,1643973814
C,0,430683,180,In Transit,22,O,H78,-88.0032,41.99002,1643973815
C,0,591238,356,In Transit,8,O,H69,-88.03162,41.7684,1643973844
C,0,686136,88,In Transit,29,O,H93,-88.2618,41.87098,1643973844
C,0,430683,138,Idle,0,O,H78,-88.0024,41.98827,1643973846
C,0,591238,0,Idle,0,O,H69,-88.03173,41.77185,1643973874
C,0,430683,136,In Transit,6,O,H78,-88.00233,41.98823,1643973874
C,0,686136,90,In Transit,35,O,H93,-88.25768,41.871,1643973874
C,0,591238,300,In Transit,15,O,H69,-88.03193,41.77252,1643973903
C,0,686136,356,In Transit,11,O,H93,-88.25593,41.87112,1643973903
C,0,430691,100,In Transit,6,O,H78,-87.99852,41.98457,1643973904
C,0,591262,0,In Transit,13,O,H69,-88.03662,41.77272,1643973933
C,0,430691,318,In Transit,6,O,H78,-87.9982,41.98478,1643973934
C,0,1004646,0,Idle,0,O,H67,-88.0573,41.9568,1643973963
C,0,591285,356,In Transit,35,O,H69,-88.03682,41.77613,1643973964
