SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
13,-88.23512,280,G 11,41.97562,2/4/2021 18:07
2,-88.23713,282,G 11,41.97597,2/4/2021 18:07
10,-88.21757,50,S 7,41.80963,2/4/2021 18:07
11,-88.21528,82,S 7,41.8104,2/4/2021 18:07
12,-88.23317,280,V1,41.97542,2/4/2021 18:07
8,-88.23743,284,V1,41.97603,2/4/2021 18:07
0,-88.01052,36,V2,41.81597,2/4/2021 18:07
11,-88.01007,356,V2,41.81757,2/4/2021 18:07
0,-88.1461,0,V3,41.8655,2/4/2021 18:07
10,-88.21203,86,S 2,41.81035,2/4/2021 18:08
11,-88.20645,100,S 2,41.81032,2/4/2021 18:08
8,-88.00042,266,S 3,41.7878,2/4/2021 18:08
9,-88.00477,264,S 3,41.78767,2/4/2021 18:08
7,-88.00125,268,S 4,41.78775,2/4/2021 18:08
9,-88.0046,270,S 4,41.78768,2/4/2021 18:08
10,-87.9509,104,G 10,41.98072,2/4/2021 18:08
12,-87.94812,104,G 10,41.98015,2/4/2021 18:08
15,-88.24298,278,G 11,41.97678,2/4/2021 18:08
14,-88.24658,272,G 11,41.97703,2/4/2021 18:08
11,-88.20975,86,S 7,41.81042,2/4/2021 18:08
5,-88.19435,270,S 8,41.88513,2/4/2021 18:08
4,-88.19568,192,S 8,41.88477,2/4/2021 18:08
16,-88.24068,280,V1,41.9765,2/4/2021 18:08
14,-88.24797,272,V1,41.97713,2/4/2021 18:08
11,-88.0102,356,V2,41.81945,2/4/2021 18:08
13,-88.0104,358,V2,41.82405,2/4/2021 18:08
4,-88.14633,294,V3,41.86612,2/4/2021 18:08
0,-88.14672,180,V3,41.86588,2/4/2021 18:08
0,-88.14678,188,V3,41.86565,2/4/2021 18:08
0,-88.14678,188,V3,41.86565,2/4/2021 18:08
0,-88.14678,188,V3,41.86565,2/4/2021 18:08
0,-88.14678,188,V3,41.86565,2/4/2021 18:08
0,-88.20408,102,S 2,41.80985,2/4/2021 18:09
0,-88.20408,102,S 2,41.80985,2/4/2021 18:09
8,-88.00695,266,S 3,41.78767,2/4/2021 18:09
11,-88.01143,268,S 3,41.7876,2/4/2021 18:09
8,-88.00792,268,S 4,41.78762,2/4/2021 18:09
10,-88.01118,268,S 4,41.78757,2/4/2021 18:09
12,-87.94282,138,G 10,41.97795,2/4/2021 18:09
0,-87.93995,98,G 10,41.97593,2/4/2021 18:09
0,-87.93995,98,G 10,41.97593,2/4/2021 18:09
14,-88.25367,270,G 11,41.97723,2/4/2021 18:09
0,-88.20393,102,S 7,41.80988,2/4/2021 18:09
0,-88.20393,102,S 7,41.80988,2/4/2021 18:09
0,-88.20393,102,S 7,41.80988,2/4/2021 18:09
2,-88.1953,60,S 8,41.88503,2/4/2021 18:09
0,-88.19493,86,S 8,41.88505,2/4/2021 18:09
0,-88.19493,86,S 8,41.88505,2/4/2021 18:09
13,-88.2515,270,V1,41.97722,2/4/2021 18:09
15,-88.25852,260,V1,41.97687,2/4/2021 18:09
12,-88.01052,358,V2,41.82635,2/4/2021 18:09
7,-88.01067,356,V2,41.83007,2/4/2021 18:09
10,-88.2022,104,S 2,41.80948,2/4/2021 18:10
11,-88.1998,102,S 2,41.80903,2/4/2021 18:10
10,-88.01395,266,S 3,41.78732,2/4/2021 18:10
4,-88.01795,278,S 3,41.78725,2/4/2021 18:10
9,-88.01485,268,S 4,41.78727,2/4/2021 18:10
4,-88.01797,270,S 4,41.78725,2/4/2021 18:10
3,-87.93983,140,G 10,41.97588,2/4/2021 18:10
7,-88.2636,206,G 11,41.97652,2/4/2021 18:10
7,-88.2636,206,G 11,41.97652,2/4/2021 18:10
2,-88.26607,214,G 11,41.97605,2/4/2021 18:10
10,-88.20198,104,S 7,41.80948,2/4/2021 18:10
10,-88.1996,104,S 7,41.80902,2/4/2021 18:10
4,-88.19477,88,S 8,41.88505,2/4/2021 18:10
4,-88.2634,222,V1,41.97688,2/4/2021 18:10
9,-88.26515,258,V1,41.97603,2/4/2021 18:10
1,-88.01068,0,V2,41.83035,2/4/2021 18:10
1,-88.0107,356,V2,41.83173,2/4/2021 18:10
0,-88.14645,0,V3,41.86542,2/4/2021 18:10
0,-88.14645,0,V3,41.86542,2/4/2021 18:10
0,-88.14645,0,V3,41.86542,2/4/2021 18:10
0,-88.14645,0,V3,41.86542,2/4/2021 18:10
0,-88.14645,0,V3,41.86542,2/4/2021 18:10
0,-88.14645,0,V3,41.86542,2/4/2021 18:10
12,-88.19453,104,S 2,41.80802,2/4/2021 18:11
10,-88.19183,108,S 2,41.80752,2/4/2021 18:11
9,-88.02002,252,S 3,41.78717,2/4/2021 18:11
9,-88.02432,260,S 3,41.78638,2/4/2021 18:11
8,-88.0208,240,S 4,41.78688,2/4/2021 18:11
9,-88.02405,260,S 4,41.78635,2/4/2021 18:11
9,-87.93973,178,G 10,41.9746,2/4/2021 18:11
8,-87.9397,180,G 10,41.9724,2/4/2021 18:11
0,-88.26578,80,G 11,41.976,2/4/2021 18:11
0,-88.26578,80,G 11,41.976,2/4/2021 18:11
0,-88.26578,80,G 11,41.976,2/4/2021 18:11
0,-88.26578,80,G 11,41.976,2/4/2021 18:11
0,-88.26578,80,G 11,41.976,2/4/2021 18:11
11,-88.19433,104,S 7,41.80802,2/4/2021 18:11
10,-88.19167,108,S 7,41.80753,2/4/2021 18:11
13,-88.18937,78,S 8,41.88562,2/4/2021 18:11
12,-88.18627,90,S 8,41.88578,2/4/2021 18:11
0,-88.26595,106,V1,41.97595,2/4/2021 18:11
0,-88.26595,106,V1,41.97595,2/4/2021 18:11
0,-88.26595,106,V1,41.97595,2/4/2021 18:11
0,-88.26595,106,V1,41.97595,2/4/2021 18:11
0,-88.26595,106,V1,41.97595,2/4/2021 18:11
8,-88.01073,358,V2,41.833,2/4/2021 18:11
3,-88.18857,150,S 2,41.80683,2/4/2021 18:12
8,-88.18862,182,S 2,41.80558,2/4/2021 18:12
9,-88.02672,260,S 3,41.7861,2/4/2021 18:12
10,-88.0317,258,S 3,41.78547,2/4/2021 18:12
9,-88.02762,260,S 4,41.78593,2/4/2021 18:12
10,-88.03142,260,S 4,41.78547,2/4/2021 18:12
12,-87.93965,178,G 10,41.9704,2/4/2021 18:12
11,-87.9396,178,G 10,41.96582,2/4/2021 18:12
2,-88.1885,150,S 7,41.80687,2/4/2021 18:12
9,-88.18873,182,S 7,41.80405,2/4/2021 18:12
