SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
12,-88.09395,278,G 14,41.93845,2/4/2021 18:57
10,-88.09662,276,G 14,41.93865,2/4/2021 18:57
5,-88.1011,208,G 14,41.93895,2/4/2021 18:58
13,-88.10108,178,G 14,41.93657,2/4/2021 18:58
6,-88.1009,124,G 14,41.9348,2/4/2021 18:59
10,-88.09767,358,G 14,41.93518,2/4/2021 18:59
8,-88.09703,96,G 14,41.9386,2/4/2021 19:00
10,-88.09412,94,G 14,41.93835,2/4/2021 19:00
13,-88.08837,96,G 14,41.93782,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
11,-88.08547,96,G 14,41.9376,2/4/2021 19:01
1,-87.98833,312,G 13,41.93022,2/4/2021 19:06
0,-87.9882,8,G 13,41.93058,2/4/2021 19:07
3,-87.98858,348,G 13,41.93092,2/4/2021 19:07
10,-87.98637,108,G 13,41.93123,2/4/2021 19:08
11,-87.98373,110,G 13,41.93055,2/4/2021 19:08
8,-88.06297,180,G 14,41.90542,2/4/2021 19:08
5,-87.97862,104,G 13,41.92923,2/4/2021 19:09
4,-87.97822,60,G 13,41.92922,2/4/2021 19:09
1,-88.06308,182,G 14,41.90397,2/4/2021 19:09
11,-88.06335,182,G 14,41.90258,2/4/2021 19:09
11,-87.97642,352,G 13,41.93268,2/4/2021 19:10
12,-88.06358,180,G 14,41.89837,2/4/2021 19:10
12,-88.06355,178,G 14,41.89613,2/4/2021 19:10
11,-87.97778,356,G 13,41.9368,2/4/2021 19:11
0,-87.97805,350,G 13,41.93888,2/4/2021 19:11
1,-87.97807,352,G 13,41.93897,2/4/2021 19:11
11,-88.06353,180,G 14,41.89177,2/4/2021 19:11
0,-88.06373,178,G 14,41.89032,2/4/2021 19:11
11,-87.97838,18,G 13,41.94338,2/4/2021 19:12
11,-87.97838,18,G 13,41.94338,2/4/2021 19:12
7,-88.06353,100,G 14,41.8899,2/4/2021 19:12
12,-88.05762,84,G 14,41.8901,2/4/2021 19:12
12,-87.97707,8,G 13,41.94728,2/4/2021 19:13
10,-87.97658,8,G 13,41.94935,2/4/2021 19:13
13,-88.05458,86,G 14,41.8902,2/4/2021 19:13
13,-88.0488,108,G 14,41.88978,2/4/2021 19:13
8,-87.9781,336,G 13,41.95303,2/4/2021 19:14
10,-87.97882,348,G 13,41.95485,2/4/2021 19:14
13,-88.04453,98,G 14,41.88882,2/4/2021 19:14
11,-88.03958,84,G 14,41.88913,2/4/2021 19:14
12,-87.9788,358,G 13,41.96023,2/4/2021 19:15
12,-87.9788,358,G 13,41.96023,2/4/2021 19:15
6,-88.03747,106,G 14,41.88895,2/4/2021 19:15
0,-88.0345,110,G 14,41.88807,2/4/2021 19:15
10,-87.97882,0,G 13,41.96223,2/4/2021 19:16
1,-88.03448,110,G 14,41.88807,2/4/2021 19:16
10,-88.0364,290,G 14,41.88873,2/4/2021 19:16
1,-87.97878,10,G 13,41.9637,2/4/2021 19:17
1,-87.97878,10,G 13,41.9637,2/4/2021 19:17
7,-88.0381,278,G 14,41.88912,2/4/2021 19:17
12,-88.04307,266,G 14,41.88885,2/4/2021 19:17
