OID_,latitude,longitude,location,speed_mph,name,timestamp
5897,43.01568864,-76.15983829,"318 Valley Drive, Syracuse, NY, 13207",3,SW 1,2/5/2022 13:20:00
5898,43.02869687,-76.17503493,"1901 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:20:02
5899,43.06735709,-76.15895584,"304 Court Street, Syracuse, NY, 13208",8,SW 5,2/5/2022 13:20:04
5900,43.01567685,-76.159835,"318 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:20:05
5901,43.02712584,-76.15851478,"1148 South Avenue, Syracuse, NY, 13207",10,SW 3,2/5/2022 13:20:05
5902,43.02863157,-76.17506575,"1901 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:20:07
5903,43.06721263,-76.15871597,"912 North Alvord Street, Syracuse, NY, 13208",4,SW 5,2/5/2022 13:20:11
5904,43.02729382,-76.15844029,"1101 South Avenue, Syracuse, NY, 13207",5,SW 3,2/5/2022 13:20:11
5905,43.01571011,-76.15985871,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:20:12
5906,43.02856434,-76.17514149,"1901 South Geddes Street, Syracuse, NY, 13207",5,SW 2,2/5/2022 13:20:13
5907,43.01569082,-76.15986141,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:20:17
5908,43.02841801,-76.17510502,"1903 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:20:20
5909,43.01572674,-76.15988629,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:20:23
5910,43.06695453,-76.15857834,"1217 North Salina Street, Syracuse, NY, 13208",6,SW 5,2/5/2022 13:20:24
5911,43.027557,-76.15834896,"1008 South Avenue, Syracuse, NY, 13207",7,SW 3,2/5/2022 13:20:25
5912,43.02839026,-76.17503759,"1903 South Geddes Street, Syracuse, NY, 13207",1,SW 2,2/5/2022 13:20:26
5913,43.0156888,-76.15986042,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:20:29
5914,43.02834731,-76.17500353,"1903 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:20:31
5915,43.02782537,-76.15826001,"1000 South Avenue, Syracuse, NY, 13207",8,SW 3,2/5/2022 13:20:33
5916,43.06672257,-76.15837445,"1217 North Salina Street, Syracuse, NY, 13208",5,SW 5,2/5/2022 13:20:35
5917,43.01574571,-76.1598901,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:20:35
5918,43.02827484,-76.17499314,"1907 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:20:37
5919,43.01573734,-76.15987792,"318 Valley Drive, Syracuse, NY, 13207",1,SW 1,2/5/2022 13:20:43
5920,43.02808573,-76.15815195,"409 West Kennedy Street, Syracuse, NY, 13207",4,SW 3,2/5/2022 13:20:43
5921,43.06649568,-76.15813467,"1207 North Salina Street, Syracuse, NY, 13208",6,SW 5,2/5/2022 13:20:48
5922,43.01569033,-76.1598511,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:20:49
5923,43.02799778,-76.17499134,"1911 South Geddes Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:20:51
5924,43.01574849,-76.15988904,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:20:54
5925,43.0157111,-76.15985843,"318 Valley Drive, Syracuse, NY, 13207",3,SW 1,2/5/2022 13:20:59
5926,43.02787332,-76.17498284,"715 Crossett Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:21:00
5927,43.02834832,-76.15805807,"919 South Avenue, Syracuse, NY, 13207",4,SW 3,2/5/2022 13:21:01
5928,43.06626002,-76.15791297,"1201 North Salina Street, Syracuse, NY, 13208",4,SW 5,2/5/2022 13:21:01
5929,43.01572987,-76.1598719,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:21:05
5930,43.02784752,-76.17498083,"715 Crossett Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:21:06
5931,43.01575588,-76.15989276,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:21:10
5932,43.0277996,-76.17497254,"715 Crossett Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:21:11
5933,43.02860455,-76.15804906,"119 Crescent Avenue, Syracuse, NY, 13207",6,SW 3,2/5/2022 13:21:13
5934,43.065994,-76.15773801,"1131 North Salina Street, Syracuse, NY, 13208",9,SW 5,2/5/2022 13:21:13
5935,43.01572508,-76.15987455,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:21:16
5936,43.06577156,-76.15751492,"1131 North Salina Street, Syracuse, NY, 13208",12,SW 5,2/5/2022 13:21:19
5937,43.02782423,-76.17498779,"715 Crossett Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:21:19
5938,43.01577126,-76.15989945,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:21:22
